Date,Close,High,Low,Open,Volume
2020-01-01,1900.037841796875,1914.3256459696258,1888.116500666217,1900.3883813576408,1354908
2020-01-02,1891.3154296875,1910.8628207566458,1883.9085176513477,1910.8628207566458,2380752
2020-01-03,1929.0079345703125,1948.5991997104015,1896.8819919807956,1896.8819919807956,4655761
2020-01-06,1928.8323974609375,1951.1847468561416,1917.8314925066973,1932.8208006441332,3023209
2020-01-07,1933.566162109375,1941.279743641955,1914.237909327274,1928.8764654690196,2429317
2020-01-08,1976.868408203125,1981.0320818264327,1930.2353064229992,1932.8211240828691,5197454
2020-01-09,1941.016845703125,1973.9754772885483,1937.203712070746,1971.1705192394072,3734173
2020-01-10,1940.3160400390625,1958.2417102979352,1935.451072666894,1952.9823323830797,1915807
2020-01-13,1919.97998046875,1945.0495555348982,1915.027270786255,1944.0854645735,2843893
2020-01-14,1934.48681640625,1954.5602376886327,1924.0558022147777,1924.0558022147777,2948452
2020-01-15,1952.0181884765625,1955.6121826166254,1923.3546192776887,1939.8340475708617,2620681
2020-01-16,1962.448974609375,1971.3898729842833,1941.5867357315196,1952.0616191120848,3117214
2020-01-17,1945.1802978515625,1975.3778388963558,1939.8331799867844,1964.1577939698993,3281059
2020-01-20,1902.4483642578125,1965.429279844001,1890.0448708941021,1923.967812120634,5817599
2020-01-21,1903.0618896484375,1916.6486143328698,1891.6665721711718,1902.0975848754404,1902980
2020-01-22,1934.48681640625,1937.2042473324186,1905.3849673467996,1911.7839201049796,1773686
2020-01-23,1924.866943359375,1948.4122224480566,1918.4974298376758,1941.427764312042,2069866
2020-01-24,1918.2333984375,1924.8665194733655,1906.4608687309674,1924.8665194733655,1319430
2020-01-27,1905.802001953125,1927.062951770125,1902.06814992671,1923.7683764527,1549101
2020-01-28,1918.5411376953125,1922.0993221424483,1890.6470650579565,1909.9752413736048,1743024
2020-01-29,1892.9306640625,1921.3517291892808,1888.8892338589694,1919.6385934799296,2306761
2020-01-30,1878.2158203125,1902.0684637498837,1866.926321232565,1897.675695935219,2098567
2020-01-31,1826.5565185546875,1883.9260993957937,1820.0113385175005,1879.5770884033636,3287223
2020-02-03,1847.1583251953125,1928.1608970810344,1838.9877365543641,1890.6467138265457,4728073
2020-02-04,1851.7706298828125,1877.2047038083824,1833.1893142689846,1870.439886618673,3509339
2020-02-05,1885.8587646484375,1894.7759954885646,1848.7398850537618,1858.1403631417554,2439322
2020-02-06,1869.869140625,1910.1506837251948,1858.5796440859206,1884.4969683593947,2640065
2020-02-07,1877.0733642578125,1889.7684183588992,1861.6547087412866,1879.2257772522946,2083442
2020-02-10,1899.3885498046875,1903.8252875353162,1861.6547227906483,1880.8949571591695,2383032
2020-02-11,1891.8768310546875,1910.6780027603704,1886.781392859032,1900.3110296036677,1335820
2020-02-12,1907.1197509765625,1919.6391366503694,1888.8897683287387,1889.856262843647,1620407
2020-02-13,1925.7451171875,1930.1818548361498,1907.3394660215208,1909.052602284502,1645948
2020-02-14,1918.93603515625,1943.3598592877222,1907.3391747349208,1922.2745805251068,1500115
2020-02-17,1935.672607421875,1947.7527156039018,1924.2074436673672,1930.1376785930895,1774724
2020-02-18,1946.6549072265625,1951.2673130769244,1920.5619113140635,1932.7737191025915,2486223
2020-02-19,1929.610595703125,1959.1738279838823,1924.4709731832709,1946.6544436570794,1760463
2020-02-20,1894.864013671875,1945.4685607548702,1889.9879994097973,1936.77096790187,2317278
2020-02-24,1858.4478759765625,1914.323739177407,1850.8482609631496,1894.160983113343,3092877
2020-02-25,1894.293212890625,1912.3035612537171,1854.6266046091362,1858.5800957132294,2674567
2020-02-26,1865.6962890625,1901.101823342892,1856.3395656399496,1892.4042295326446,2686842
2020-02-27,1849.794189453125,1862.4892432244933,1832.838065882274,1862.4892432244933,2349001
2020-02-28,1757.2384033203125,1818.1660531872947,1748.32106588196,1816.8482232381373,4298076
2020-03-02,1758.248779296875,1804.5045251957492,1744.543261887292,1787.8559828968598,2667076
2020-03-03,1788.9105224609375,1809.8201378251915,1767.6495715069348,1774.6779992266443,2757585
2020-03-04,1830.2021484375,1840.0858728290732,1779.070390483203,1806.305542139983,3237002
2020-03-05,1866.9698486328125,1886.9129668792266,1830.9491611030494,1832.3986883415578,3937056
2020-03-06,1859.414306640625,1865.7398482432911,1820.01131521552,1843.205039255488,2595027
2020-03-09,1732.814697265625,1827.3030467383978,1700.000750735371,1822.9982210728137,4940975
2020-03-11,1716.4296875,1745.9491667247876,1686.8224816319696,1698.2436755180195,6796449
2020-03-12,1554.9073486328125,1676.6309365346424,1544.8039869038855,1672.765281032783,8728786
2020-03-13,1586.9310302734375,1598.9671688108772,1323.1453750891155,1482.9102875127276,8029720
2020-03-16,1490.3779296875,1618.5149147914833,1472.3236153827022,1541.8611347314716,7844271
2020-03-17,1456.6414794921875,1520.7758751513732,1426.023916164222,1519.8973217861787,5713248
2020-03-18,1453.478759765625,1505.445214587159,1430.0652903135835,1473.1583772847328,7258778
2020-03-19,1448.1246337890625,1491.5767590833336,1368.8311245955701,1380.2914745073563,5135111
2020-03-20,1590.6934814453125,1654.0132952703314,1439.849990050738,1442.5049070575924,8547498
2020-03-23,1477.6385498046875,1548.701885235918,1431.664271337375,1433.6554594755355,7003490
2020-03-24,1507.2408447265625,1566.40123120324,1445.0272384903915,1462.9037467372605,6350865
2020-03-25,1548.96728515625,1601.8000959377919,1486.7536802074533,1504.4531287813516,2765520
2020-03-26,1584.9412841796875,1621.3137364174418,1524.4092581520856,1620.9154340182147,4556067
2020-03-27,1614.6322021484375,1637.1989991639405,1549.0557665444542,1610.6498262045252,4331250
2020-03-30,1573.923583984375,1685.8726047175903,1560.6932883819973,1562.8614277854408,8513547
2020-03-31,1616.048095703125,1641.623819948526,1575.2508892228445,1626.0483271440046,3927593
2020-04-01,1512.1964111328125,1623.7029204540909,1506.2228481334582,1615.8709372384842,4941878
2020-04-03,1463.9215087890625,1539.8521947050322,1460.204667392703,1539.8521947050322,5735369
2020-04-07,1571.0030517578125,1580.4280299664601,1508.878028910971,1513.3028911658416,5427577
2020-04-08,1509.276123046875,1598.2601402930031,1505.3380391131773,1557.5514102523175,6285615
2020-04-09,1562.994384765625,1574.1893098020116,1532.0645274660963,1549.1002500778943,5307397
2020-04-13,1556.8878173828125,1581.4458034179825,1545.1619321588123,1558.4365192048501,2990438
2020-04-15,1535.5599365234375,1603.5700462961759,1529.0554107559885,1579.6757906394446,4761399
